Date,Livingroom_1,Livingroom_2,Livingroom_3,Bedroom,Staircase_Low,Staircase_Up
2013-01-12,0.358372,4.85203,0.0376623,0.146739,0.0,0.0
2013-01-13,0.356772,4.85043,0.0360623,0.158128,0.0,0.0
2013-01-14,0.355172,4.84883,0.0344623,0.169445,0.0,0.0
2013-01-15,0.353572,4.84723,0.0328623,0.18069,0.0,0.0
2013-01-16,0.351972,4.84563,0.0312623,0.191862,0.0,0.0
2013-01-17,0.350372,4.84403,0.0296623,0.20296,0.0,0.0
2013-01-18,0.348772,4.84243,0.0280623,0.213983,0.0,0.0
2013-01-19,0.347172,4.84083,0.0264623,0.22493,0.0,0.0
2013-01-20,0.345572,4.83923,0.0248623,0.235801,0.0,0.0
2013-01-21,0.343972,4.83763,0.0232623,0.246595,0.0,0.0
2013-01-22,0.342372,4.83603,0.0216623,0.25731,0.0,0.0
2013-01-23,0.340772,4.83443,0.0200623,0.267946,0.0,0.0
2013-01-24,0.339172,4.83283,0.0184623,0.278502,0.0,0.0
2013-01-25,0.337572,4.83123,0.0168623,0.288975,0.0,0.0
2013-01-26,0.335972,4.82963,0.0152623,0.299366,0.0,0.0
2013-01-27,0.334372,4.82803,0.0136623,0.309672,0.0,0.0
2013-01-28,0.332772,4.82643,0.0120623,0.319892,0.0,0.0
2013-01-29,0.331172,4.82483,0.0104623,0.330025,0.0,0.0
2013-01-30,0.329572,4.82323,0.00886227,0.340068,0.0,0.0
2013-01-31,0.327972,4.82163,0.00726227,0.350021,0.0,0.0
2013-02-01,0.326372,4.82003,0.00566227,0.359879,0.0,0.0
2013-02-02,0.324772,4.81843,0.00406227,0.369642,0.0,0.0
2013-02-03,0.323172,4.81683,0.00246227,0.379306,0.0,0.0
2013-02-04,0.321572,4.81523,0.00086227,0.388869,0.0,0.0
2013-02-05,0.319972,4.81363,0.0,0.398326,0.0,0.0
2013-02-06,0.318372,4.81203,0.0,0.407675,0.0,0.0
2013-02-07,0.316772,4.81043,0.0,0.41691,0.0,0.0
2013-02-08,0.315172,4.80883,0.0,0.426027,0.0,0.0
2013-02-09,0.313572,4.80723,0.0,0.435018,0.0,0.0
2013-02-10,0.311972,4.80563,0.0,0.443878,0.0,0.0
2013-02-11,0.310372,4.80403,0.0,0.452668,0.0,0.0
2013-02-12,0.308772,4.80243,0.0,0.46092,0.0,0.0
2013-02-13,0.307172,4.80083,0.0,0.47034,0.0,0.0
2013-02-14,0.305572,4.79923,0.0,0.480087,0.0,0.0
2013-02-15,0.303972,4.79763,0.0,0.490429,0.0,0.0
2013-02-16,0.302372,4.79603,0.0,0.503877,0.0,0.0
2013-02-17,0.300772,4.79443,0.0,0.518209,0.0,0.0
2013-02-18,0.299172,4.79283,0.0,0.528826,0.0,0.0
2013-02-19,0.297572,4.79123,0.0,0.539401,0.0,0.0
2013-02-20,0.295972,4.78963,0.0,0.548854,0.0,0.0
2013-02-21,0.294372,4.78803,0.0,0.55814,0.0,0.0
2013-02-22,0.292772,4.78643,0.0,0.564753,0.0,0.0
2013-02-23,0.291172,4.78483,0.0,0.56551,0.0,0.0
