time,RH_living_room_(was_found_in_a_drawer_in_2016),RH_bedroom,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_MA_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_30D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_7D,RH_living_room_(was_found_in_a_drawer_in_2016)_risk_1D,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_code,RH_living_room_(was_found_in_a_drawer_in_2016)_B3_overall_risk_label,RH_bedroom_MA_30D,RH_bedroom_MA_7D,RH_bedroom_MA_1D,RH_bedroom_risk_30D,RH_bedroom_risk_7D,RH_bedroom_risk_1D,RH_bedroom_B3_overall_risk_code,RH_bedroom_B3_overall_risk_label
2012-03-18T01:00:00Z,55.0,54.6,52.00405405405406,52.00405405405406,55.912499999999994,0,0,0,0,Safe,51.612162162162164,51.612162162162164,55.3125,0,0,0,0,Safe
2012-03-18T02:00:00Z,54.5,54.0,52.037333333333336,52.037333333333336,55.974999999999994,0,0,0,0,Safe,51.644000000000005,51.644000000000005,55.375,0,0,0,0,Safe
2012-03-18T03:00:00Z,53.8,53.1,52.060526315789474,52.060526315789474,56.008333333333326,0,0,0,0,Safe,51.66315789473684,51.66315789473684,55.400000000000006,0,0,0,0,Safe
2012-03-18T04:00:00Z,53.1,52.6,52.07402597402597,52.07402597402597,56.00416666666667,0,0,0,0,Safe,51.675324675324674,51.675324675324674,55.395833333333336,0,0,0,0,Safe
2012-03-18T05:00:00Z,52.3,51.9,52.07692307692308,52.07692307692308,55.9625,0,0,0,0,Safe,51.67820512820513,51.67820512820513,55.354166666666664,0,0,0,0,Safe
2012-03-18T06:00:00Z,51.9,51.4,52.074683544303795,52.074683544303795,55.887499999999996,0,0,0,0,Safe,51.6746835443038,51.6746835443038,55.287499999999994,0,0,0,0,Safe
2012-03-18T07:00:00Z,51.3,51.0,52.065,52.065,55.775000000000006,0,0,0,0,Safe,51.666250000000005,51.666250000000005,55.18333333333333,0,0,0,0,Safe
2012-03-18T08:00:00Z,51.0,50.8,52.05185185185185,52.05185185185185,55.637499999999996,0,0,0,0,Safe,51.65555555555556,51.65555555555556,55.05833333333333,0,0,0,0,Safe
2012-03-18T09:00:00Z,51.1,50.7,52.04024390243902,52.04024390243902,55.479166666666664,0,0,0,0,Safe,51.643902439024394,51.643902439024394,54.90833333333333,0,0,0,0,Safe
2012-03-18T10:00:00Z,51.6,51.3,52.03493975903614,52.03493975903614,55.324999999999996,0,0,0,0,Safe,51.63975903614458,51.63975903614458,54.76666666666666,0,0,0,0,Safe
2012-03-18T11:00:00Z,52.7,52.1,52.042857142857144,52.042857142857144,55.19166666666666,0,0,0,0,Safe,51.64523809523809,51.64523809523809,54.62916666666667,0,0,0,0,Safe
2012-03-18T12:00:00Z,53.0,52.4,52.05411764705883,52.05411764705883,55.020833333333336,0,0,0,0,Safe,51.654117647058825,51.654117647058825,54.46666666666666,0,0,0,0,Safe
2012-03-18T13:00:00Z,53.0,52.5,52.06511627906977,52.06511627906977,54.81666666666666,0,0,0,0,Safe,51.663953488372094,51.663953488372094,54.275,0,0,0,0,Safe
2012-03-18T14:00:00Z,53.1,52.7,52.07701149425287,52.07701149425287,54.60833333333334,0,0,0,0,Safe,51.67586206896552,51.67586206896552,54.074999999999996,0,0,0,0,Safe
2012-03-18T15:00:00Z,53.0,52.5,52.0875,52.0875,54.38750000000001,0,0,0,0,Safe,51.685227272727275,51.685227272727275,53.85833333333333,0,0,0,0,Safe
2012-03-18T16:00:00Z,53.3,52.7,52.10112359550562,52.10112359550562,54.17916666666667,0,0,0,0,Safe,51.69662921348315,51.69662921348315,53.65833333333333,0,0,0,0,Safe
2012-03-18T17:00:00Z,53.5,52.8,52.11666666666667,52.11666666666667,53.979166666666664,0,0,0,0,Safe,51.70888888888889,51.70888888888889,53.4625,0,0,0,0,Safe
2012-03-18T18:00:00Z,53.6,53.0,52.13296703296704,52.13296703296704,53.800000000000004,0,0,0,0,Safe,51.723076923076924,51.723076923076924,53.27916666666667,0,0,0,0,Safe
2012-03-18T19:00:00Z,53.6,53.1,52.14891304347826,52.14891304347826,53.63333333333333,0,0,0,0,Safe,51.73804347826086,51.73804347826086,53.125,0,0,0,0,Safe
2012-03-18T20:00:00Z,53.3,52.8,52.16129032258065,52.16129032258065,53.47083333333333,0,0,0,0,Safe,51.7494623655914,51.7494623655914,52.96666666666667,0,0,0,0,Safe
2012-03-18T21:00:00Z,53.1,52.5,52.171276595744686,52.171276595744686,53.30833333333333,0,0,0,0,Safe,51.757446808510636,51.757446808510636,52.80416666666667,0,0,0,0,Safe
2012-03-18T22:00:00Z,52.8,52.2,52.1778947368421,52.1778947368421,53.15,0,0,0,0,Safe,51.76210526315789,51.76210526315789,52.645833333333336,0,0,0,0,Safe
2012-03-18T23:00:00Z,52.2,51.9,52.178125,52.178125,52.98333333333333,0,0,0,0,Safe,51.76354166666667,51.76354166666667,52.49166666666667,0,0,0,0,Safe
2012-03-19T00:00:00Z,51.7,51.3,52.17319587628866,52.17319587628866,52.8125,0,0,0,0,Safe,51.75876288659794,51.75876288659794,52.32916666666666,0,0,0,0,Safe
2012-03-19T01:00:00Z,51.1,50.8,52.16224489795918,52.16224489795918,52.65,0,0,0,0,Safe,51.74897959183673,51.74897959183673,52.17083333333334,0,0,0,0,Safe
2012-03-19T02:00:00Z,50.6,50.3,52.14646464646464,52.14646464646464,52.487500000000004,0,0,0,0,Safe,51.73434343434343,51.73434343434343,52.01666666666667,0,0,0,0,Safe
2012-03-19T03:00:00Z,50.1,49.7,52.126000000000005,52.126000000000005,52.333333333333336,0,0,0,0,Safe,51.714,51.714,51.875,0,0,0,0,Safe
